"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC113703412",9.93848253922324,21.2226611972158,3.53243540318461,6.00794035131762,1.87894938543479e-09,7.90041848093765e-05
"LOC113705036",115.078446028699,24.5560428779351,4.30588969155691,5.7028964132744,1.17788568710029e-08,0.000247632797427529
"LOC140013335",28.3077532917337,4.59396945916953,0.818757963772291,5.61090048883749,2.01276487338035e-08,0.000253082136340496
"LOC140016309",125.01991104565,24.4176332604798,4.37605745957908,5.57982464490501,2.40761182810185e-08,0.000253082136340496
"LOC113741701",101.561156010042,24.2472165412099,4.37608509441255,5.54084667415838,3.01012691681555e-08,0.000253133612942687
"LOC113698492",18.8814120287774,7.42753806954819,1.36684458521577,5.43407652185687,5.50809412864965e-08,0.000330855476896188
"LOC113718029",111.622964432631,3.33776830659093,0.611405527138083,5.45917260875058,4.78358536183889e-08,0.000330855476896188
"LOC113699715",17.0898986748032,20.6174663427863,3.82336136526065,5.39249743174112,6.94850930350608e-08,0.00036520496335565
"LOC113728466",60.5747434367424,23.2479749788928,4.37630089091565,5.3122432753998,1.082839133373e-07,0.000389971632375544
"LOC140005270",45.9285675853818,23.2640214809484,4.37632613220829,5.31587929650238,1.06143496668872e-07,0.000389971632375544
"LOC140004917",60.6226818028741,23.2260210797642,4.37628769052834,5.30724274138389,1.11295920957655e-07,0.000389971632375544
"LOC140007606",70.7789178935499,23.450990718639,4.37624428963564,5.35870238646834,8.38218025184736e-08,0.000389971632375544
"LOC113711088",254.391983373915,1.29376886056672,0.245210018065308,5.27616640940887,1.31914308992421e-07,0.00042666161155418
"LOC140015662",54.6751841473037,22.5794865668921,4.376567135968,5.1591774707,2.48037113372604e-07,0.000744944036141277
"LOC140021584",27.4738433795888,22.4659674762949,4.37668529451521,5.13310095757831,2.85006925605103e-07,0.000798912413394519
"LOC113739485",49.2281329347662,22.3451269698879,4.37669311572806,5.10548178248747,3.29952776339593e-07,0.00086709527417193
"LOC140015691",48.4392291298749,21.9076457668446,4.37698420989889,5.00519186642226,5.5806416700634e-07,0.00123499600158503
"LOC113713686",30.5974268200438,6.64087131748576,1.32629868760377,5.00707071457928,5.52646277215346e-07,0.00123499600158503
"LOC113689228",39.3429935706032,21.4624794649289,4.37694475490579,4.90352989739549,9.41296081673418e-07,0.00164911151442176
"LOC113733004",12.4480376096591,7.3221722368619,1.48877094298981,4.91826648776288,8.73139932544972e-07,0.00164911151442176
