COG_name,Universe,Up,Down
Function unknown,13943,21,3
Signal transduction mechanisms,4176,11,2
"Replication, recombination and repair",3998,2,0
"Posttranslational modification, protein turnover, chaperones",3065,6,0
Transcription,2941,3,1
"Secondary metabolites biosynthesis, transport and catabolism",2059,4,0
Carbohydrate transport and metabolism,1974,3,0
Amino acid transport and metabolism,1621,0,1
"Translation, ribosomal structure and biogenesis",1451,0,0
"Intracellular trafficking, secretion, vesicular transport",1127,2,0
Lipid transport and metabolism,1080,1,0
Energy production and conversion,940,0,0
Inorganic ion transport and metabolism,911,4,0
"Cell cycle control, cell division, chromosome partitioning",576,0,0
Coenzyme transport and metabolism,533,0,0
Defense mechanisms,432,0,0
Cytoskeleton,367,0,0
Nucleotide transport and metabolism,305,2,0
Cell wall/membrane/envelope biogenesis,297,2,0
Nuclear structure,13,0,0
Extracellular structures,4,0,0
